Log_ID,Product_ID,Product_Title,Brand,Category,Prod_Rate,Prod_Comments,Prod_Suggest_Pct,Seller_Name,Seller_ID,Variant_ID,Is_Winner,BuyBox_Rank,Base_Rank,Price_Rial,Stock,Order_Limit,Variant_Rate,Variant_Votes,Seller_Rate,Seller_Votes,Commitment,No_Return,On_Time_Ship,Digiclub_Points,Shipping_Price,Ship_By_Seller,Lead_Time,Is_Trusted,Reg_Date
1_Initial_V188,4874481,VGR V-188,VGR,Shaver,83.46,405,84,Behin Tajhizat,117393,39747500,YES,88.8496,187.6992,21750000,1,1,81,38,82,25343,99.9,99.9,99.7,150,1200000,TRUE,1,TRUE,7 Years
1_Initial_V188,4874481,VGR V-188,VGR,Shaver,83.46,405,84,Daryaye Aram Momtaz,1184130,76498751,NO,-,187.4266,21800000,1,2,0,0,85,459,100.0,100.0,100.0,150,1200000,TRUE,1,TRUE,2.8 Years
2_Geemy_Test1,11317076,Geemy GM-6683,Geemy,Shaver,82.41,207,83,Daryaye Aram Momtaz,1184130,76284478,YES,99.6000,209.2000,13000000,2,2,60,2,85,462,100.0,100.0,100.0,130,1200000,TRUE,1,TRUE,2.8 Years
3_Geemy_Test2,11317076,Geemy GM-6683,Geemy,Shaver,82.41,207,83,Daryaye Aram Momtaz,1184130,76284478,YES,99.6000,209.2000,12300000,2,2,60,2,85,462,100.0,100.0,100.0,123,1200000,TRUE,1,TRUE,2.8 Years
4_V188_Drop1,4874481,VGR V-188,VGR,Shaver,83.46,405,84,Daryaye Aram Momtaz,1184130,76498751,YES,90.0103,190.0206,21500000,2,2,0,0,85,462,100.0,100.0,100.0,150,1200000,TRUE,1,TRUE,2.8 Years
4_V188_Drop1,4874481,VGR V-188,VGR,Shaver,83.46,405,84,Behin Tajhizat,117393,39747500,NO,-,188.4512,21750000,1,1,81,38,82,25343,99.9,99.9,99.7,150,1200000,TRUE,1,TRUE,7 Years
5_V188_Drop2,4874481,VGR V-188,VGR,Shaver,83.46,405,84,Daryaye Aram Momtaz,1184130,76498751,YES,91.8997,193.7994,21000000,2,2,0,0,85,462,100.0,100.0,100.0,150,1200000,TRUE,1,TRUE,2.8 Years
5_V188_Drop2,4874481,VGR V-188,VGR,Shaver,83.46,405,84,Behin Tajhizat,117393,39747500,NO,-,188.3241,21750000,1,1,81,38,82,25343,99.9,99.9,99.7,150,1200000,TRUE,1,TRUE,7 Years
6_V188_Drop3,4874481,VGR V-188,VGR,Shaver,83.46,405,84,Daryaye Aram Momtaz,1184130,76498751,YES,93.8737,195.1673,20500000,2,2,0,0,85,462,100.0,100.0,100.0,150,1200000,TRUE,1,TRUE,2.8 Years
6_V188_Drop3,4874481,VGR V-188,VGR,Shaver,83.46,405,84,Behin Tajhizat,117393,39747500,NO,-,188.5027,21750000,1,1,81,38,82,25343,99.9,99.9,99.7,150,1200000,TRUE,1,TRUE,7 Years
7_V188_Drop4,4874481,VGR V-188,VGR,Shaver,83.46,405,84,Daryaye Aram Momtaz,1184130,76498751,YES,95.9417,197.7474,20000000,2,2,0,0,85,462,100.0,100.0,100.0,150,1200000,TRUE,1,TRUE,2.8 Years
7_V188_Drop4,4874481,VGR V-188,VGR,Shaver,83.46,405,84,Behin Tajhizat,117393,39747500,NO,-,188.5542,21750000,1,1,81,38,82,25343,99.9,99.9,99.7,150,1200000,TRUE,1,TRUE,7 Years